 [2023-04-17 13:07:53,104] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-17 15:23:44,240] Register_02 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:23:44,356] Register_02 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:23:44,476] Register_02 - Step 07: Click to 'Register' button
 [2023-04-17 15:23:44,784] Register_02 - Step 08: Verify wrong email message displayed
 [2023-04-17 15:23:44,876] Register_03 - Step 01: Click to 'Register; link
 [2023-04-17 15:23:45,484] Register_03 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:23:45,608] Register_03 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:23:45,764] Register_03 - Step 04: Enter to Email textbox with value 'afc20986@gmail.com'
 [2023-04-17 15:23:45,888] Register_03 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:23:46,000] Register_03 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:23:46,092] Register_03 - Step 07: Click to 'Register' button
 [2023-04-17 15:23:46,881] Register_03 - Step 08: Verify register success message is displayed
 [2023-04-17 15:23:47,005] Register_04 - Step 01: Click to 'Register' link
 [2023-04-17 15:23:47,496] Register_04 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:23:47,636] Register_04 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:23:47,784] Register_04 - Step 04: Enter to Email textbox with value 'afc20986@gmail.com'
 [2023-04-17 15:23:48,032] Register_04 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:23:48,136] Register_04 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:23:48,252] Register_04 - Step 07: Click to 'Register' button
 [2023-04-17 15:23:48,922] Register_04 - Step 08: Verify exsting email message is displayed
 [2023-04-17 15:23:49,046] Register_05 - Step 01: Click to 'Register' link
 [2023-04-17 15:23:49,550] Register_05 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:23:49,754] Register_05 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:23:49,898] Register_05 - Step 04: Enter to Email textbox with value 'afc20986@gmail.com'
 [2023-04-17 15:23:50,034] Register_05 - Step 05: Enter to Password textbox with value '12345'
 [2023-04-17 15:23:50,170] Register_05 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:23:50,306] Register_05 - Step 07: Click to 'Register' button
 [2023-04-17 15:23:50,638] Register_05 - Step 08: Verify Password error message eror displayed
 [2023-04-17 15:23:50,734] Register_06 - Step 01: Click to 'Register' link
 [2023-04-17 15:23:51,278] Register_06 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:23:51,430] Register_06 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:23:51,590] Register_06 - Step 04: Enter to Email textbox with value 'afc20986@gmail.com'
 [2023-04-17 15:23:51,730] Register_06 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:23:51,865] Register_06 - Step 06: Enter to Confirm Password textbox with value '000000'
 [2023-04-17 15:23:51,993] Register_06 - Step 07: Click to 'Register' button
 [2023-04-17 15:23:52,788] Register_06 - Step 08: Verify Confirm Password error message eror displayed 
 [2023-04-17 15:23:52,876] OS name = windows 11
 [2023-04-17 15:23:52,876] Driver instance name = firefoxdriver: firefox on windows (abb6e11d-7525-4d11-9cce-573c881d7029)
 [2023-04-17 15:29:01,705] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-17 15:29:25,354] Register_01 - Step 01: Click to 'Register' link
 [2023-04-17 15:29:30,609] Register_01 - Step 02: Click to 'Register' button
 [2023-04-17 15:29:31,018] Register_01 - Step 03: Verify Firstname error message displayed
 [2023-04-17 15:29:31,149] Register_01 - Step 04: Verify Lastname error message displayed
 [2023-04-17 15:29:31,237] Register_01 - Step 05: Verify Email error message displayed
 [2023-04-17 15:29:31,329] Register_01 - Step 06: Verify Password error message displayed
 [2023-04-17 15:29:31,430] Register_01 - Step 07: Verify ConfirmPassword error message displayed
 [2023-04-17 15:29:31,548] Register_02 - Step 01: Click to Register link
 [2023-04-17 15:29:32,312] Register_02 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:29:32,444] Register_02 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:29:32,588] Register_02 - Step 04: Enter to Email textbox with value 'afc@@gmail.com'
 [2023-04-17 15:29:32,736] Register_02 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:29:32,880] Register_02 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:29:33,028] Register_02 - Step 07: Click to 'Register' button
 [2023-04-17 15:29:33,356] Register_02 - Step 08: Verify wrong email message displayed
 [2023-04-17 15:29:33,452] Register_03 - Step 01: Click to 'Register; link
 [2023-04-17 15:29:34,852] Register_03 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:29:34,996] Register_03 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:29:35,124] Register_03 - Step 04: Enter to Email textbox with value 'afc65342@gmail.com'
 [2023-04-17 15:29:35,292] Register_03 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:29:35,424] Register_03 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:29:35,556] Register_03 - Step 07: Click to 'Register' button
 [2023-04-17 15:29:36,444] Register_03 - Step 08: Verify register success message is displayed
 [2023-04-17 15:29:36,576] Register_04 - Step 01: Click to 'Register' link
 [2023-04-17 15:29:37,102] Register_04 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:29:37,246] Register_04 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:29:37,378] Register_04 - Step 04: Enter to Email textbox with value 'afc65342@gmail.com'
 [2023-04-17 15:29:37,510] Register_04 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:29:37,670] Register_04 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:29:37,814] Register_04 - Step 07: Click to 'Register' button
 [2023-04-17 15:29:38,318] Register_04 - Step 08: Verify exsting email message is displayed
 [2023-04-17 15:29:38,431] Register_05 - Step 01: Click to 'Register' link
 [2023-04-17 15:29:38,898] Register_05 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:29:39,080] Register_05 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:29:39,216] Register_05 - Step 04: Enter to Email textbox with value 'afc65342@gmail.com'
 [2023-04-17 15:29:39,360] Register_05 - Step 05: Enter to Password textbox with value '12345'
 [2023-04-17 15:29:39,560] Register_05 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:29:39,680] Register_05 - Step 07: Click to 'Register' button
 [2023-04-17 15:29:40,010] Register_05 - Step 08: Verify Password error message eror displayed
 [2023-04-17 15:29:40,090] Register_06 - Step 01: Click to 'Register' link
 [2023-04-17 15:29:40,765] Register_06 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:29:40,917] Register_06 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:29:41,108] Register_06 - Step 04: Enter to Email textbox with value 'afc65342@gmail.com'
 [2023-04-17 15:29:41,264] Register_06 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:29:41,424] Register_06 - Step 06: Enter to Confirm Password textbox with value '000000'
 [2023-04-17 15:29:41,564] Register_06 - Step 07: Click to 'Register' button
 [2023-04-17 15:29:42,365] Register_06 - Step 08: Verify Confirm Password error message eror displayed 
 [2023-04-17 15:29:42,473] OS name = windows 11
 [2023-04-17 15:29:42,473] Driver instance name = firefoxdriver: firefox on windows (9f953ccf-fa10-4c93-a191-13b96d2c062d)
 [2023-04-17 15:44:44,343] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-17 15:44:50,685] Register_01 - Step 01: Click to 'Register' link
 [2023-04-17 15:44:51,869] Register_01 - Step 02: Click to 'Register' button
 [2023-04-17 15:44:52,231] Register_01 - Step 03: Verify Firstname error message displayed
 [2023-04-17 15:44:52,323] Register_01 - Step 04: Verify Lastname error message displayed
 [2023-04-17 15:44:52,415] Register_01 - Step 05: Verify Email error message displayed
 [2023-04-17 15:44:52,507] Register_01 - Step 06: Verify Password error message displayed
 [2023-04-17 15:44:52,611] Register_01 - Step 07: Verify ConfirmPassword error message displayed
 [2023-04-17 15:44:52,729] Register_02 - Step 01: Click to Register link
 [2023-04-17 15:44:53,352] Register_02 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:44:53,476] Register_02 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:44:53,611] Register_02 - Step 04: Enter to Email textbox with value 'afc@@gmail.com'
 [2023-04-17 15:44:53,732] Register_02 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:44:53,864] Register_02 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:44:53,992] Register_02 - Step 07: Click to 'Register' button
 [2023-04-17 15:44:54,341] Register_02 - Step 08: Verify wrong email message displayed
 [2023-04-17 15:44:54,449] Register_03 - Step 01: Click to 'Register; link
 [2023-04-17 15:44:55,123] Register_03 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:44:55,299] Register_03 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:44:55,431] Register_03 - Step 04: Enter to Email textbox with value 'afc90665@gmail.com'
 [2023-04-17 15:44:55,555] Register_03 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:44:55,715] Register_03 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:44:55,867] Register_03 - Step 07: Click to 'Register' button
 [2023-04-17 15:44:56,823] Register_03 - Step 08: Verify register success message is displayed
 [2023-04-17 15:44:56,939] Register_04 - Step 01: Click to 'Register' link
 [2023-04-17 15:44:57,447] Register_04 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:44:57,595] Register_04 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:44:57,735] Register_04 - Step 04: Enter to Email textbox with value 'afc90665@gmail.com'
 [2023-04-17 15:44:57,867] Register_04 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:44:58,007] Register_04 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:44:58,179] Register_04 - Step 07: Click to 'Register' button
 [2023-04-17 15:44:58,886] Register_04 - Step 08: Verify exsting email message is displayed
 [2023-04-17 15:44:58,998] Register_05 - Step 01: Click to 'Register' link
 [2023-04-17 15:44:59,533] Register_05 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:44:59,657] Register_05 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:44:59,801] Register_05 - Step 04: Enter to Email textbox with value 'afc90665@gmail.com'
 [2023-04-17 15:44:59,929] Register_05 - Step 05: Enter to Password textbox with value '12345'
 [2023-04-17 15:45:00,053] Register_05 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:45:00,165] Register_05 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:00,489] Register_05 - Step 08: Verify Password error message eror displayed
 [2023-04-17 15:45:00,573] Register_06 - Step 01: Click to 'Register' link
 [2023-04-17 15:45:01,313] Register_06 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:45:01,477] Register_06 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:45:01,633] Register_06 - Step 04: Enter to Email textbox with value 'afc90665@gmail.com'
 [2023-04-17 15:45:01,801] Register_06 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:45:01,949] Register_06 - Step 06: Enter to Confirm Password textbox with value '000000'
 [2023-04-17 15:45:02,053] Register_06 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:02,847] Register_06 - Step 08: Verify Confirm Password error message eror displayed 
 [2023-04-17 15:45:02,931] OS name = windows 11
 [2023-04-17 15:45:02,931] Driver instance name = firefoxdriver: firefox on windows (7cca7f28-3de9-4f1a-bc8b-394b4c282cec)
 [2023-04-17 15:45:35,490] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-17 15:45:41,656] Register_01 - Step 01: Click to 'Register' link
 [2023-04-17 15:45:43,078] Register_01 - Step 02: Click to 'Register' button
 [2023-04-17 15:45:43,468] Register_01 - Step 03: Verify Firstname error message displayed
 [2023-04-17 15:45:43,580] Register_01 - Step 04: Verify Lastname error message displayed
 [2023-04-17 15:45:43,688] Register_01 - Step 05: Verify Email error message displayed
 [2023-04-17 15:45:43,784] Register_01 - Step 06: Verify Password error message displayed
 [2023-04-17 15:45:43,888] Register_01 - Step 07: Verify ConfirmPassword error message displayed
 [2023-04-17 15:45:44,020] Register_02 - Step 01: Click to Register link
 [2023-04-17 15:45:44,661] Register_02 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:45:44,849] Register_02 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:45:45,029] Register_02 - Step 04: Enter to Email textbox with value 'afc@@gmail.com'
 [2023-04-17 15:45:45,217] Register_02 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:45:45,373] Register_02 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:45:45,537] Register_02 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:45,849] Register_02 - Step 08: Verify wrong email message displayed
 [2023-04-17 15:45:45,937] Register_03 - Step 01: Click to 'Register; link
 [2023-04-17 15:45:46,791] Register_03 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:45:46,935] Register_03 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:45:47,099] Register_03 - Step 04: Enter to Email textbox with value 'afc41638@gmail.com'
 [2023-04-17 15:45:47,271] Register_03 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:45:47,407] Register_03 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:45:47,529] Register_03 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:48,393] Register_03 - Step 08: Verify register success message is displayed
 [2023-04-17 15:45:48,533] Register_04 - Step 01: Click to 'Register' link
 [2023-04-17 15:45:49,154] Register_04 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:45:49,314] Register_04 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:45:49,610] Register_04 - Step 04: Enter to Email textbox with value 'afc41638@gmail.com'
 [2023-04-17 15:45:49,746] Register_04 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:45:49,966] Register_04 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:45:50,126] Register_04 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:50,722] Register_04 - Step 08: Verify exsting email message is displayed
 [2023-04-17 15:45:50,862] Register_05 - Step 01: Click to 'Register' link
 [2023-04-17 15:45:51,416] Register_05 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:45:51,564] Register_05 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:45:51,732] Register_05 - Step 04: Enter to Email textbox with value 'afc41638@gmail.com'
 [2023-04-17 15:45:51,924] Register_05 - Step 05: Enter to Password textbox with value '12345'
 [2023-04-17 15:45:52,084] Register_05 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-17 15:45:52,216] Register_05 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:52,540] Register_05 - Step 08: Verify Password error message eror displayed
 [2023-04-17 15:45:52,644] Register_06 - Step 01: Click to 'Register' link
 [2023-04-17 15:45:53,598] Register_06 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-17 15:45:53,754] Register_06 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-17 15:45:53,922] Register_06 - Step 04: Enter to Email textbox with value 'afc41638@gmail.com'
 [2023-04-17 15:45:54,082] Register_06 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-17 15:45:54,202] Register_06 - Step 06: Enter to Confirm Password textbox with value '000000'
 [2023-04-17 15:45:54,330] Register_06 - Step 07: Click to 'Register' button
 [2023-04-17 15:45:55,140] Register_06 - Step 08: Verify Confirm Password error message eror displayed 
 [2023-04-17 15:45:55,235] OS name = windows 11
 [2023-04-17 15:45:55,239] Driver instance name = firefoxdriver: firefox on windows (1fe4c8b3-aba0-480a-be51-58748f35a09d)
 [2023-04-18 13:45:21,169] Pre-Condition - Step 01: Open browser and navigate to website
 [2023-04-18 13:45:26,792] Register_01 - Step 01: Click to 'Register' link
 [2023-04-18 13:45:27,975] Register_01 - Step 02: Click to 'Register' button
 [2023-04-18 13:45:28,394] Register_01 - Step 03: Verify Firstname error message displayed
 [2023-04-18 13:45:28,501] Register_01 - Step 04: Verify Lastname error message displayed
 [2023-04-18 13:45:28,591] Register_01 - Step 05: Verify Email error message displayed
 [2023-04-18 13:45:28,671] Register_01 - Step 06: Verify Password error message displayed
 [2023-04-18 13:45:28,793] Register_01 - Step 07: Verify ConfirmPassword error message displayed
 [2023-04-18 13:45:28,891] Register_02 - Step 01: Click to Register link
 [2023-04-18 13:45:29,381] Register_02 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-18 13:45:29,529] Register_02 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-18 13:45:29,674] Register_02 - Step 04: Enter to Email textbox with value 'afc@@gmail.com'
 [2023-04-18 13:45:29,819] Register_02 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-18 13:45:29,961] Register_02 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-18 13:45:30,114] Register_02 - Step 07: Click to 'Register' button
 [2023-04-18 13:45:30,442] Register_02 - Step 08: Verify wrong email message displayed
 [2023-04-18 13:45:30,530] Register_03 - Step 01: Click to 'Register; link
 [2023-04-18 13:45:31,047] Register_03 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-18 13:45:31,166] Register_03 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-18 13:45:31,307] Register_03 - Step 04: Enter to Email textbox with value 'afc26766@gmail.com'
 [2023-04-18 13:45:31,433] Register_03 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-18 13:45:31,554] Register_03 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-18 13:45:31,716] Register_03 - Step 07: Click to 'Register' button
 [2023-04-18 13:45:32,593] Register_03 - Step 08: Verify register success message is displayed
 [2023-04-18 13:45:32,710] Register_04 - Step 01: Click to 'Register' link
 [2023-04-18 13:45:33,193] Register_04 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-18 13:45:33,338] Register_04 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-18 13:45:33,475] Register_04 - Step 04: Enter to Email textbox with value 'afc26766@gmail.com'
 [2023-04-18 13:45:33,642] Register_04 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-18 13:45:33,785] Register_04 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-18 13:45:33,949] Register_04 - Step 07: Click to 'Register' button
 [2023-04-18 13:45:34,443] Register_04 - Step 08: Verify exsting email message is displayed
 [2023-04-18 13:45:34,596] Register_05 - Step 01: Click to 'Register' link
 [2023-04-18 13:45:35,072] Register_05 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-18 13:45:35,212] Register_05 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-18 13:45:35,417] Register_05 - Step 04: Enter to Email textbox with value 'afc26766@gmail.com'
 [2023-04-18 13:45:35,561] Register_05 - Step 05: Enter to Password textbox with value '12345'
 [2023-04-18 13:45:35,653] Register_05 - Step 06: Enter to Confirm Password textbox with value '123456'
 [2023-04-18 13:45:35,777] Register_05 - Step 07: Click to 'Register' button
 [2023-04-18 13:45:36,135] Register_05 - Step 08: Verify Password error message eror displayed
 [2023-04-18 13:45:36,208] Register_06 - Step 01: Click to 'Register' link
 [2023-04-18 13:45:36,680] Register_06 - Step 02: Enter to Firstname textbox with value 'A'
 [2023-04-18 13:45:36,811] Register_06 - Step 03: Enter to Lastname textbox with value 'B'
 [2023-04-18 13:45:36,953] Register_06 - Step 04: Enter to Email textbox with value 'afc26766@gmail.com'
 [2023-04-18 13:45:37,077] Register_06 - Step 05: Enter to Password textbox with value '123456'
 [2023-04-18 13:45:37,224] Register_06 - Step 06: Enter to Confirm Password textbox with value '000000'
 [2023-04-18 13:45:37,404] Register_06 - Step 07: Click to 'Register' button
 [2023-04-18 13:45:38,224] Register_06 - Step 08: Verify Confirm Password error message eror displayed 
 [2023-04-18 13:45:38,338] OS name = windows 11
 [2023-04-18 13:45:38,339] Driver instance name = firefoxdriver: firefox on windows (acdbed7f-f976-431c-85f4-3b18ef60361b)
 [2023-04-18 13:50:34,372] Pre-Conditon - Step_01: Open browser and login to Admin page
 [2023-04-18 13:50:45,707] Admin_01 - Step_01: Click to 'Catalog' menu
 [2023-04-18 13:50:45,859] Admin_01 - Step_02: Click to 'Products' in 'Catalog' menu
 [2023-04-18 13:50:51,535] Admin_01 - Step_03: Enter to 'Product name' textbox
 [2023-04-18 13:50:51,774] Admin_01 - Step_04: Click to 'Search' button
 [2023-04-18 13:50:55,137] Admin_01 - Step_05: Verify 'Product name' is equals 'Lenovo IdeaCentre 600 All-in-One PC'
 [2023-04-18 13:50:55,242] Admin_01 - Step_06: Verify 'SKU' is equals 'LE_IC_600'
 [2023-04-18 13:50:55,323] Admin_01 - Step_07: Verify 'Price' is equals '500'
 [2023-04-18 13:50:55,424] Admin_01 - Step_08: Verify 'Stock quantity' is equals '10000'
 [2023-04-18 13:50:55,526] Admin_01 - Step_09: Verify 'Published icon' is displayed
 [2023-04-18 13:50:55,661] Admin_02 - Step_01: Click to 'Products' in 'Catalog' menu
 [2023-04-18 13:50:57,412] Admin_02 - Step_02: Enter to 'Product name' textbox
 [2023-04-18 13:50:57,570] Admin_02 - Step_03: Select 'Computers' in 'Catagory' dropdown
 [2023-04-18 13:50:58,014] Admin_02 - Step_04: Click to 'Search' button
 [2023-04-18 13:51:01,329] Admin_02 - Step_05: Verify 'No data available in table' message is displayed
 [2023-04-18 13:51:01,440] Admin_03 - Step_01: Click to 'Products' in 'Catalog' menu
 [2023-04-18 13:51:03,245] Admin_03 - Step_02: Enter to 'Product name' textbox
 [2023-04-18 13:51:03,439] Admin_03 - Step_03: Select 'Computers' in 'Catagory' dropdown
